age,workclass,final_pop_weight,education,marital_status,occupation,race,sex,capital_gain,work_hours_per_week,native_country,income
90.0,,77053,Highschool,Widowed,?,White,Female,0.0,40,United-States,1.0
82.0,Private,132870,Highschool,Widowed,Exec-managerial,White,Female,628.6435859943015,18,United-States,1.0
66.0,,186061,College,Widowed,?,Black,Female,0.0,40,United-States,1.0
54.0,Private,140359,primary school,Divorced,Machine-op-inspct,White,Female,0.0,40,United-States,1.0
41.0,Private,264663,College,Separated,Prof-specialty,White,Female,0.0,40,United-States,1.0
34.0,Private,216864,Highschool,Divorced,Other-service,White,Female,37379.8328975953,45,United-States,1.0
38.0,Private,150601,primary school,Separated,Adm-clerical,White,Male,8516.461831211309,40,United-States,1.0
74.0,State-gov,88638,primary school,Never-married,Prof-specialty,White,Female,9104.844910395072,20,United-States,0.0
68.0,Federal-gov,422013,Highschool,Divorced,Prof-specialty,White,Female,0.0,40,United-States,1.0
41.0,Private,70037,College,Never-married,Craft-repair,White,Male,1333.7515434368706,60,?,0.0
45.0,Private,172274,primary school,Divorced,Prof-specialty,Black,Female,0.0,35,United-States,0.0
38.0,Self-emp-not-inc,164526,doctorate,Never-married,Prof-specialty,White,Male,0.0,45,United-States,0.0
52.0,Private,129177,Bachelors,Widowed,Other-service,White,Female,37304.079106720616,20,United-States,0.0
32.0,Private,136204,Masters,Separated,Exec-managerial,White,Male,0.0,55,United-States,0.0
51.0,,172175,primary school,Never-married,?,White,Male,0.0,40,United-States,0.0
46.0,Private,45363,doctorate,Divorced,Prof-specialty,White,Male,0.0,40,United-States,0.0
45.0,Private,172822,primary school,Divorced,Transport-moving,White,Male,0.0,76,United-States,0.0
57.0,Private,317847,Masters,Divorced,Exec-managerial,White,Male,0.0,50,United-States,0.0
22.0,Private,119592,doc,Never-married,Handlers-cleaners,Black,Male,0.0,40,?,0.0
,Private,203034,Bachelors,Separated,Sales,White,Male,3248.530646296603,50,United-States,0.0
,Private,188774,Bachelors,Never-married,Exec-managerial,White,Male,0.0,40,United-States,0.0
29.0,Private,77009,primary school,Separated,Sales,White,Female,6883.553265290243,42,United-States,1.0
61.0,Private,29059,Highschool,Divorced,Sales,White,Female,0.0,25,United-States,1.0
51.0,Private,153870,College,Married-civ-spouse,Transport-moving,White,Male,0.0,40,United-States,1.0
61.0,,135285,Highschool,Married-civ-spouse,?,White,Male,0.0,32,United-States,1.0
21.0,Private,34310,Doctorate,Married-civ-spouse,Craft-repair,White,Male,0.0,90,United-States,1.0
,Private,228696,primary school,Married-civ-spouse,Craft-repair,White,Male,0.0,32,Mexico,1.0
49.0,Private,122066,primary school,Married-civ-spouse,Other-service,White,Male,0.0,40,Greece,1.0
37.0,Self-emp-inc,107164,primary school,Never-married,Transport-moving,White,Male,0.0,50,United-States,0.0
38.0,Private,175360,primary school,Never-married,Prof-specialty,White,Male,149054.78455474504,90,United-States,0.0
23.0,Private,44064,College,Separated,Other-service,White,Male,123758.14451029208,40,United-States,0.0
,Self-emp-inc,107287,primary school,Widowed,Exec-managerial,White,Female,0.0,50,United-States,0.0
52.0,Private,198863,doctorate,Divorced,Exec-managerial,White,Male,1031.464246989737,60,United-States,0.0
51.0,Private,123011,Bachelors,Divorced,Exec-managerial,White,Male,0.0,50,United-States,0.0
60.0,Self-emp-not-inc,205246,Highschool,Never-married,Exec-managerial,Black,Male,0.0,50,United-States,0.0
63.0,Federal-gov,39181,primary school,Divorced,Exec-managerial,White,Female,0.0,60,United-States,0.0
